Time (microseconds),i_alpha,i_beta
45300.00,705.61181640625,-4949.9609375
45400.00,656.077819824219,-4956.76904296875
45500.00,606.478210449219,-4963.08203125
45600.00,556.817932128906,-4968.8984375
45700.00,507.101989746094,-4974.21875
45800.00,457.335327148438,-4979.04052734375
45900.00,407.522918701172,-4983.36474609375
46000.00,357.669769287109,-4987.1904296875
46100.00,307.780853271484,-4990.517578125
46200.00,257.861175537109,-4993.34619140625
46300.00,207.91569519043,-4995.6748046875
46400.00,157.949432373047,-4997.50439453125
46500.00,107.96736907959,-4998.833984375
46600.00,57.9745101928711,-4999.66357421875
46700.00,7.97585296630859,-4999.99365234375
46800.00,-42.0236015319824,-4999.8232421875
46900.00,-92.0188522338867,-4999.15283203125
47000.00,-142.004898071289,-4997.98291015625
47100.00,-191.976745605469,-4996.31298828125
47200.00,-241.929397583008,-4994.1435546875
47300.00,-291.857879638672,-4991.47412109375
47400.00,-341.757141113281,-4988.30615234375
47500.00,-391.622222900391,-4984.63916015625
47600.00,-441.448181152344,-4980.47412109375
47700.00,-491.22998046875,-4975.81103515625
47800.00,-540.962646484375,-4970.64990234375
47900.00,-590.641235351563,-4964.99169921875
48000.00,-640.2607421875,-4958.8369140625
48100.00,-689.816223144531,-4952.18701171875
48200.00,-739.302734375,-4945.041015625
48300.00,-788.715270996094,-4937.40087890625
48400.00,-838.049011230469,-4929.26708984375
48500.00,-887.298889160156,-4920.64013671875
48600.00,-936.460083007813,-4911.521484375
48700.00,-985.527587890625,-4901.9111328125
48800.00,-1034.49658203125,-4891.81103515625
48900.00,-1083.36206054688,-4881.2216796875
49000.00,-1132.11926269531,-4870.14453125
49100.00,-1180.76330566406,-4858.580078125
49200.00,-1229.28918457031,-4846.529296875
49300.00,-1277.69213867188,-4833.994140625
49400.00,-1325.96740722656,-4820.97607421875
49500.00,-1374.10998535156,-4807.4755859375
49600.00,-1422.11511230469,-4793.494140625
49700.00,-1469.97814941406,-4779.03369140625
49800.00,-1517.69421386719,-4764.09521484375
49900.00,-1565.25842285156,-4748.6806640625
50000.00,-1612.66613769531,-4732.791015625
50100.00,-1659.91259765625,-4716.427734375
50200.00,-1706.99304199219,-4699.59326171875
50300.00,-1753.90270996094,-4682.2880859375
50400.00,-1800.63708496094,-4664.515625
50500.00,-1847.19140625,-4646.2763671875
50600.00,-1893.56103515625,-4627.572265625
50700.00,-1939.7412109375,-4608.40576171875
